々,々,々,3.616,394,記号,一般,,,
ゝ,ゝ,ゝ,3.772,275,記号,一般,,,
ゞ,ゞ,ゞ,4.186,106,記号,一般,,,
ー,ー,ー,4.932,19,名詞,一般,,,
a,a,a,5.512,5,名詞,一般,,,
A,A,A,5.91,2,名詞,一般,,,
Abbe,Abbe,Abbe,6.211,1,名詞,固有名詞,組織,,
Abs,Abs,Abs,6.211,1,名詞,一般,,,
affect,affect,affect,6.211,1,名詞,一般,,,
akin,akin,akin,5.91,2,名詞,一般,,,
Aldrovanda,Aldrovanda,Aldrovanda,6.211,1,名詞,固有名詞,組織,,
Alles,Alles,Alles,6.211,1,名詞,固有名詞,組織,,
alles,alles,alles,6.211,1,名詞,一般,,,
Allgemeinheit,Allgemeinheit,Allgemeinheit,6.211,1,名詞,一般,,,
als,als,als,6.211,1,名詞,一般,,,
am,am,am,6.211,1,名詞,一般,,,
Amaranth,Amaranth,Amaranth,6.211,1,名詞,一般,,,
an,an,an,6.211,1,名詞,一般,,,
An,An,An,6.211,1,名詞,一般,,,
Analytic,Analytic,Analytic,6.211,1,名詞,一般,,,
and,and,and,5.433,6,名詞,一般,,,
anmassen,anmassen,anmassen,6.211,1,名詞,固有名詞,組織,,
Anschauung,Anschauung,Anschauung,6.211,1,名詞,固有名詞,組織,,
answer,answer,answer,6.211,1,名詞,固有名詞,組織,,
Apathie,Apathie,Apathie,6.211,1,名詞,一般,,,
Art,Art,Art,5.257,9,名詞,一般,,,
as,as,as,6.211,1,名詞,一般,,,
asi,asi,asi,6.211,1,名詞,一般,,,
Atlas,Atlas,Atlas,6.211,1,名詞,一般,,,
Atman,Atman,Atman,6.211,1,名詞,一般,,,
attributes,attributes,attributes,6.211,1,名詞,一般,,,
au,au,au,6.211,1,名詞,一般,,,
Aufl,Aufl,Aufl,5.91,2,名詞,一般,,,
Auge,Auge,Auge,6.211,1,名詞,固有名詞,組織,,
Augstinus,Augstinus,Augstinus,6.211,1,名詞,一般,,,
axiom,axiom,axiom,6.211,1,名詞,固有名詞,組織,,
Ba,Ba,Ba,5.91,2,名詞,一般,,,
Bala,Bala,Bala,6.211,1,名詞,一般,,,
Bd,Bd,Bd,6.211,1,名詞,一般,,,
Be,Be,Be,5.734,3,名詞,固有名詞,組織,,
Bestand,Bestand,Bestand,6.211,1,名詞,一般,,,
bestimmte,bestimmte,bestimmte,6.211,1,名詞,固有名詞,組織,,
Bettler,Bettler,Bettler,6.211,1,名詞,一般,,,
Bk,Bk,Bk,6.211,1,名詞,一般,,,
Blanqui,Blanqui,Blanqui,6.211,1,名詞,固有名詞,組織,,
Blume,Blume,Blume,6.211,1,名詞,一般,,,
Blut,Blut,Blut,6.211,1,名詞,一般,,,
bonum,bonum,bonum,6.211,1,名詞,固有名詞,組織,,
Bourgogne,Bourgogne,Bourgogne,6.211,1,名詞,一般,,,
Brahman,Brahman,Brahman,6.211,1,名詞,一般,,,
Bryher,Bryher,Bryher,6.211,1,名詞,固有名詞,組織,,
C,C,C,6.211,1,名詞,固有名詞,組織,,
Candide,Candide,Candide,6.211,1,名詞,一般,,,
Cap,Cap,Cap,6.211,1,名詞,一般,,,
Case,Case,Case,6.211,1,名詞,一般,,,
cat,cat,cat,5.734,3,名詞,一般,,,
Chap,Chap,Chap,5.734,3,名詞,一般,,,
cher,cher,cher,6.211,1,名詞,一般,,,
Choisy,Choisy,Choisy,6.211,1,名詞,固有名詞,組織,,
cine,cine,cine,6.211,1,名詞,一般,,,
cirrus,cirrus,cirrus,6.211,1,名詞,一般,,,
Close,Close,Close,6.211,1,名詞,一般,,,
cogito,cogito,cogito,6.211,1,名詞,固有名詞,組織,,
concerning,concerning,concerning,6.211,1,名詞,一般,,,
Conf,Conf,Conf,6.211,1,名詞,固有名詞,組織,,
corps,corps,corps,6.211,1,名詞,一般,,,
Dame,Dame,Dame,5.91,2,名詞,一般,,,
Das,Das,Das,6.211,1,名詞,一般,,,
das,das,das,5.91,2,名詞,一般,,,
DDF,DDF,DDF,6.211,1,名詞,固有名詞,組織,,
de,de,de,5.91,2,名詞,一般,,,
De,De,De,5.91,2,名詞,固有名詞,組織,,
Der,Der,Der,5.609,4,名詞,一般,,,
der,der,der,5.308,8,名詞,固有名詞,組織,,
des,des,des,5.734,3,名詞,一般,,,
determination,determination,determination,6.211,1,名詞,一般,,,
Dewey,Dewey,Dewey,6.211,1,名詞,固有名詞,組織,,
diable,diable,diable,6.211,1,名詞,一般,,,
dianoetic,dianoetic,dianoetic,6.211,1,名詞,一般,,,
die,die,die,5.734,3,名詞,一般,,,
Die,Die,Die,5.734,3,名詞,一般,,,
dignity,dignity,dignity,6.211,1,名詞,一般,,,
Dionysius,Dionysius,Dionysius,6.211,1,名詞,一般,,,
divine,divine,divine,6.211,1,名詞,一般,,,
docta,docta,docta,6.211,1,名詞,一般,,,
Dr,Dr,Dr,6.211,1,名詞,一般,,,
Dramaturgie,Dramaturgie,Dramaturgie,6.211,1,名詞,一般,,,
du,du,du,6.211,1,名詞,一般,,,
Duc,Duc,Duc,6.211,1,名詞,一般,,,
edition,edition,edition,6.211,1,名詞,一般,,,
Eine,Eine,Eine,6.211,1,名詞,一般,,,
einem,einem,einem,6.211,1,名詞,一般,,,
einen,einen,einen,6.211,1,名詞,一般,,,
Einheit,Einheit,Einheit,6.211,1,名詞,一般,,,
Einl,Einl,Einl,6.211,1,名詞,一般,,,
Einleitung,Einleitung,Einleitung,6.211,1,名詞,一般,,,
Einsam,Einsam,Einsam,6.211,1,名詞,固有名詞,組織,,
einsam,einsam,einsam,6.211,1,名詞,一般,,,
Eitelkeit,Eitelkeit,Eitelkeit,6.211,1,名詞,一般,,,
end,end,end,5.91,2,名詞,一般,,,
energetism,energetism,energetism,6.211,1,名詞,一般,,,
ens,ens,ens,6.211,1,名詞,一般,,,
entelechie,entelechie,entelechie,6.211,1,名詞,一般,,,
ergo,ergo,ergo,6.211,1,名詞,一般,,,
Ernst,Ernst,Ernst,6.211,1,名詞,一般,,,
Erskine,Erskine,Erskine,6.211,1,名詞,一般,,,
Erster,Erster,Erster,6.211,1,名詞,一般,,,
erwachen,erwachen,erwachen,6.211,1,名詞,一般,,,
Essay,Essay,Essay,6.211,1,名詞,一般,,,
esse,esse,esse,6.211,1,名詞,一般,,,
Essenz,Essenz,Essenz,6.211,1,名詞,一般,,,
est,est,est,6.211,1,名詞,一般,,,
Ethica,Ethica,Ethica,6.211,1,名詞,一般,,,
Ethics,Ethics,Ethics,6.211,1,名詞,一般,,,
ethics,ethics,ethics,6.211,1,名詞,固有名詞,組織,,
Ethik,Ethik,Ethik,6.211,1,名詞,一般,,,
eudaimonia,eudaimonia,eudaimonia,6.211,1,名詞,一般,,,
Evolution,Evolution,Evolution,6.211,1,名詞,一般,,,
evolution,evolution,evolution,6.211,1,名詞,一般,,,
Experience,Experience,Experience,5.91,2,名詞,一般,,,
F,F,F,5.91,2,名詞,一般,,,
Faust,Faust,Faust,6.211,1,名詞,一般,,,
faut,faut,faut,6.211,1,名詞,一般,,,
ff,ff,ff,6.211,1,名詞,一般,,,
Film,Film,Film,5.609,4,名詞,一般,,,
Filmkunst,Filmkunst,Filmkunst,6.211,1,名詞,一般,,,
Filmmanuskript,Filmmanuskript,Filmmanuskript,6.211,1,名詞,一般,,,
Filmregie,Filmregie,Filmregie,6.211,1,名詞,一般,,,
Films,Films,Films,5.91,2,名詞,一般,,,
first,first,first,6.211,1,名詞,固有名詞,組織,,
Fleischwerden,Fleischwerden,Fleischwerden,6.211,1,名詞,固有名詞,組織,,
fliesst,fliesst,fliesst,6.211,1,名詞,一般,,,
Flora,Flora,Flora,6.211,1,名詞,一般,,,
Fotografie,Fotografie,Fotografie,6.211,1,名詞,一般,,,
franc,franc,franc,6.211,1,名詞,一般,,,
Frau,Frau,Frau,6.211,1,名詞,一般,,,
free,free,free,6.211,1,名詞,一般,,,
frei,frei,frei,6.211,1,名詞,一般,,,
fringe,fringe,fringe,6.211,1,名詞,一般,,,
frustra,frustra,frustra,6.211,1,名詞,一般,,,
Fu,Fu,Fu,6.211,1,名詞,一般,,,
G,G,G,6.211,1,名詞,一般,,,
Gans,Gans,Gans,6.211,1,名詞,一般,,,
ganz,ganz,ganz,6.211,1,名詞,固有名詞,組織,,
Gar,Gar,Gar,6.211,1,名詞,固有名詞,組織,,
Geburt,Geburt,Geburt,6.211,1,名詞,一般,,,
Gegenstand,Gegenstand,Gegenstand,6.211,1,名詞,一般,,,
Geist,Geist,Geist,5.91,2,名詞,一般,,,
Geschehen,Geschehen,Geschehen,6.211,1,名詞,固有名詞,組織,,
